nt,t (s),enstrophy (m^3/s^2)
417,10.67196072384514,396.0367247283678
418,10.697552955796807,396.872370795862
419,10.723145187748473,397.8417880146196
420,10.74873741970014,398.7844004148264
421,10.774329651651806,399.47576483877396
422,10.799921883603472,400.25625555390195
423,10.825514115555139,401.1327737886824
424,10.851106347506805,402.0611830631807
425,10.876698579458472,403.0150401543609
426,10.902290811410138,403.9495649312876
427,10.927883043361804,404.8494616991989
428,10.95347527531347,405.60751461594003
429,10.979067507265137,406.42166132927673
430,11.004659739216804,406.90553779339257
431,11.03025197116847,408.0163369568408
432,11.055844203120136,409.1200223523524
433,11.081436435071803,410.2637265774616
434,11.107028667023469,411.4967321044664
435,11.132620898975135,412.73174599200536
436,11.158213130926802,414.0083815552339
437,11.183805362878468,415.3008033116233
438,11.209397594830135,416.6035508385666
439,11.234989826781801,417.66167787214346
440,11.260582058733467,418.9455435379066
441,11.286174290685134,420.2977894132405
442,11.3117665226368,421.7278995952882
443,11.337358754588466,423.17304996854654
444,11.362950986540133,424.6469677391564
445,11.3885432184918,426.0413733959263
446,11.414135450443466,427.530312008623
447,11.439727682395132,428.7298637822895
448,11.465319914346798,430.0509921901754
449,11.490912146298465,431.80785365204684
450,11.516504378250131,433.234096882034
451,11.542096610201797,434.4700088729613
452,11.567688842153464,436.33153202619275
453,11.59328107410513,437.98220735453896
454,11.618873306056797,439.2255896598678
455,11.644465538008463,440.7231885856395
456,11.67005776996013,442.30293105322977
457,11.695650001911796,443.9406283111862
458,11.721242233863462,445.6363287199893
459,11.746834465815128,447.2124952897711
460,11.772426697766795,448.77636953395233
461,11.798018929718461,450.42714717618173
462,11.823611161670128,451.9748092261188
463,11.849203393621794,453.54844646119926
464,11.87479562557346,455.11196890175825
465,11.900387857525127,456.58920027443304
466,11.925980089476793,457.91833487843604
467,11.95157232142846,459.28187940054494
468,11.977164553380126,460.6943673379601
469,12.002756785331792,462.08321567711016
470,12.028349017283459,463.31068890486756
471,12.053941249235125,464.5945735057154
472,12.079533481186791,465.8207470683038
473,12.105125713138458,466.91933740253376
474,12.130717945090124,467.9906895977696
475,12.15631017704179,469.02076154952135
476,12.181902408993457,470.0507814207451
477,12.207494640945123,471.11256633949284
478,12.23308687289679,472.01110612460485
479,12.258679104848456,472.8524272820547
480,12.284271336800122,473.7163786558462
481,12.309863568751789,474.4321533342103
482,12.335455800703455,475.146557651294
483,12.361048032655122,475.87296078609023
484,12.386640264606788,476.5014167360761
485,12.412232496558454,477.23485162739416
486,12.43782472851012,478.1618213144645
487,12.463416960461787,478.82672795246907
488,12.489009192413453,479.4524889667067
489,12.51460142436512,480.03596352273803
490,12.540193656316786,480.63573832901614
491,12.565785888268453,481.20668517939305
492,12.591378120220119,481.74745178031316
493,12.616970352171785,482.2446450193089
494,12.642562584123452,482.76080621940275
495,12.668154816075118,483.2109836765665
496,12.693747048026784,483.65630206043596
497,12.71933927997845,484.06264897142194
498,12.744931511930117,484.48731690363553
499,12.770523743881784,484.9101117999455
500,12.79611597583345,485.2672538948673
501,12.821708207785116,485.57684285634105
502,12.847300439736783,485.91368295074386
503,12.872892671688449,486.2600411568811
504,12.898484903640115,486.54435092775844
505,12.924077135591782,486.7845628350972
506,12.949669367543448,486.98694156286814
507,12.975261599495115,487.1813141838403
508,13.000853831446781,487.349994461806
509,13.026446063398447,487.4842497483311
510,13.052038295350114,487.5868391746094
511,13.07763052730178,487.66283501156687
512,13.103222759253446,487.72163923204425
513,13.128814991205113,487.6693595416221
514,13.15440722315678,487.7725031123573
515,13.179999455108446,487.75839877104596
516,13.205591687060112,487.7508529645773
517,13.231183919011778,487.7084592685931
518,13.256776150963445,487.6751227883538
519,13.282368382915111,487.6050858368655
520,13.307960614866778,487.5250813328638
521,13.333552846818444,487.3908863585112
522,13.35914507877011,487.2294419611515
523,13.384737310721777,487.06742910415363
